Gene_ID	Read_Counts_Depleted	Read_Counts_Total	Gene_Length	DepletedRPKM	TotalRPKM
rna-BSU_rRNA_10	19759	240929	2928	15492.0898027686	22453.4955971447
rna-BSU_rRNA_11	35	169	119	675.207410212269	387.530331500302
rna-BSU_misc_RNA_3	5790	103	141	94270.4473577215	199.335233253565
rna-BSU_misc_RNA_4	540	35	57	21748.7860552583	167.555676393518
rna-BSU_rRNA_23	6147	109990	1553	9086.73524272658	19326.2548845886
rna-BSU_rRNA_14	17659	220336	2926	13855.0437572081	20548.3566867396
rna-BSU_rRNA_15	50	163	117	981.070596034921	380.161120725806
rna-BSU_tRNA_23	17	21	72	542.041504309294	79.588946286921
rna-BSU_tRNA_24	101	4	73	3176.24965297114	14.9521308092846
rna-BSU_tRNA_25	79	2	75	2418.14280510687	7.27670366051849
rna-BSU_tRNA_26	70	3	77	2087.00472247429	10.6315475559523
rna-BSU_tRNA_27	83	2	77	2474.59131379094	7.08769837063489
rna-BSU_tRNA_28	32	1	76	966.612713567038	3.5904787798611
rna-BSU_rRNA_16	6302	115955	1554	9309.8675271147	20361.2493473799
rna-BSU_rRNA_29	17432	204117	2924	13686.2971800236	19048.8062723245
rna-BSU_rRNA_24	43	175	118	836.570537059608	404.689557391124
rna-BSU_rRNA_25	6943	124580	1552	10270.0265250985	21903.9563956361
rna-BSU_rRNA_27	19091	234895	2928	14968.3428526066	21891.1540258388
rna-BSU_rRNA_28	48	183	119	925.998734005398	419.633435884942
rna-BSU_tRNA_75	301	1	75	9213.43018148315	3.63835183025924
rna-BSU_tRNA_78	113	4	76	3413.3511447836	14.3619151194444
rna-BSU_tRNA_76	162	3	73	5094.57865130024	11.2140981069634
rna-BSU_tRNA_77	406	9	85	10965.3683418472	28.8927939461764
rna-BSU_tRNA_74	538	9	75	16467.8585968038	32.7451664723332
rna-BSU_misc_RNA_5	711	22	171	9545.3005464745	35.1069036253085
rna-BSU_misc_RNA_6	226	11	248	2092.05392744801	12.1033881450156
rna-BSU_misc_RNA_64	583	21	269	4975.45029190617	21.3026175935253
rna-BSU_misc_RNA_7	416	4	144	6632.03722919607	7.57989964637343
rna-BSU_tRNA_45	213	3	75	6519.80275300967	10.9150554907777
rna-BSU_tRNA_46	1514	36	91	38194.4798330624	107.951098260439
rna-BSU_tRNA_47	1260	16	72	40174.84090763	60.6391971709874
rna-BSU_tRNA_48	821	17	75	25130.3195315537	61.8519811144072
rna-BSU_tRNA_49	199	6	76	6011.12281249502	21.5428726791666
rna-BSU_tRNA_50	836	25	82	23404.994424236	83.1940205089766
rna-BSU_tRNA_51	925	22	87	24408.3598289378	69.0032243669857
rna-BSU_misc_RNA_65	2	0	60	76.5235064907238	0
rna-BSU_misc_RNA_66	2	0	79	58.1191188537143	0
rna-BSU_misc_RNA_8	11	0	101	250.027298435038	0
rna-BSU_tRNA_79	189	6	77	5634.91275068057	21.2630951119047
rna-BSU_tRNA_80	247	51	74	7662.69166346302	188.063456091103
rna-BSU_rRNA_30	7164	129510	1555	10576.4836109237	22726.8301705888
rna-BSU_rRNA_12	18985	240336	2928	14885.2333066229	22398.2306730836
rna-BSU_rRNA_13	59	145	117	1157.66330332121	338.180138068968
rna-BSU_tRNA_21	114	12	77	3398.83626231527	42.5261902238094
rna-BSU_tRNA_22	138	5	77	4114.38073859216	17.7192459265872
rna-BSU_misc_RNA_9	410	8	103	9138.24397898935	21.1942825063645
rna-BSU_misc_RNA_10	102	2	103	2273.41679477296	5.29857062659113
rna-BSU_rRNA_22	7139	127920	1555	10539.5751672787	22447.8118710657
rna-BSU_rRNA_17	19318	238837	2928	15146.3227293832	22258.530637388
rna-BSU_rRNA_18	106	192	116	2097.79957448708	451.657468583906
rna-BSU_tRNA_29	26	5	75	795.844467503528	18.1917591512962
rna-BSU_tRNA_30	663	24	92	16544.0493923967	71.1851445050722
rna-BSU_tRNA_31	517	4	72	16484.4386898768	15.1597992927469
rna-BSU_tRNA_32	137	4	76	4138.31067995888	14.3619151194444
rna-BSU_tRNA_33	87	3	77	2593.84872650376	10.6315475559523
rna-BSU_tRNA_34	185	8	77	5515.65533796776	28.3507934825396
rna-BSU_tRNA_35	95	2	76	2869.63149340214	7.18095755972219
rna-BSU_tRNA_36	167	3	73	5251.8187331305	11.2140981069634
rna-BSU_tRNA_37	335	6	85	9047.7792968444	19.2618626307842
rna-BSU_tRNA_38	117	1	74	3629.69605111406	3.68751874688437
rna-BSU_tRNA_39	601	22	76	18154.1950266809	78.9905331569441
rna-BSU_tRNA_40	736	13	72	23467.2086571553	49.2693477014273
rna-BSU_tRNA_41	242	11	75	7407.47542830207	40.0218701328517
rna-BSU_tRNA_42	113	2	71	3653.72798596555	7.68665879632235
rna-BSU_tRNA_43	383	3	89	9879.27066942041	9.19808046975652
rna-BSU_tRNA_44	193	2	82	5403.30612904013	6.65552164071813
rna-BSU_misc_RNA_11	225	3	108	4782.71915567024	7.57989964637343
rna-BSU_tRNA_82	138	1	74	4281.17995772428	3.68751874688437
rna-BSU_misc_RNA_12	204	4	118	3968.84626884093	9.25004702608283
rna-BSU_misc_RNA_13	562	18	215	6000.86660201676	22.8454649806976
rna-BSU_misc_RNA_67	520	11	139	8588.24964931864	21.5945342443444
rna-BSU_misc_RNA_14	205	5	109	4317.61068732066	12.5172654710754
rna-BSU_misc_RNA_15	10	0	121	189.727702043117	0
rna-BSU_tRNA_83	78	0	73	2452.94527655197	0
rna-BSU_misc_RNA_16	12	0	112	245.968413720184	0
rna-BSU_misc_RNA_17	666	23	211	7246.15952457186	29.7448194653896
rna-BSU_misc_RNA_18	107	1	156	1574.61830663605	1.74920761070156
rna-BSU_misc_RNA_19	374	9	113	7598.17471527364	21.7335175701327
rna-BSU_misc_RNA_68	205	4	154	3055.97120076592	7.08769837063489
rna-BSU_misc_RNA_87	280	7	134	4796.99592926925	14.2547366484038
rna-BSU_misc_RNA_20	45	1	157	658.004673646351	1.73806616095187
rna-BSU_misc_RNA_21	257	4	101	5841.54688161862	10.8069856344334
rna-BSU_misc_RNA_22	39	0	45	1989.61116875882	0
rna-BSU_misc_RNA_88	737	74	152	11131.1495296704	132.847714854861
rna-BSU_misc_RNA_69	2	0	84	54.6596474933742	0
rna-BSU_misc_RNA_70	62	0	211	674.567403188371	0
rna-BSU_misc_RNA_23	44	4	121	834.801888989714	9.02070701717168
rna-BSU_misc_RNA_24	32	3	102	720.221237559754	8.0257760961601
rna-BSU_misc_RNA_25	1691	28	227	17101.4867148653	33.6587614253058
rna-BSU_misc_RNA_26	178	1	117	3492.61132188432	2.33227681426875
rna-BSU_misc_RNA_27	291	8	118	5661.44247172897	18.5000940521657
rna-BSU_misc_RNA_28	135	2	115	2694.95827206462	4.74567630033815
rna-BSU_misc_RNA_29	18	1	106	389.836731179159	2.57430554027777
rna-BSU_misc_RNA_30	1076	135	42	58813.7807028706	877.102673366068
rna-BSU_misc_RNA_71	171	5	218	1800.75957934593	6.25863273553769
rna-BSU_misc_RNA_89	11	1	151	167.236802264496	1.80712839251287
rna-BSU_misc_RNA_72	2	0	281	16.3395387524677	0
rna-BSU_misc_RNA_73	11	0	80	315.659464274236	0
rna-BSU_tRNA_85	6	0	73	188.688098196305	0
rna-BSU_misc_RNA_31	30	0	92	748.59952001795	0
rna-BSU_misc_RNA_74	413	3	384	2469.07876411476	2.13184677554253
rna-BSU_misc_RNA_75	268	0	108	5696.74992764277	0
rna-BSU_misc_RNA_32	6721	68	203	76007.067062683	91.406868641981
rna-BSU_misc_RNA_76	3	1	805	8.55542308591943	0.338976878595582
rna-BSU_misc_RNA_33	1	0	252	9.10994124889569	0
rna-BSU_ncRNA_1	85	5	291	670.566809454796	4.68859771940624
rna-BSU_misc_RNA_90	9	1	107	193.096698621453	2.5502466099948
rna-BSU_misc_RNA_77	200	3	180	2550.78354969079	4.54793978782406
rna-BSU_misc_RNA_34	56	5	101	1272.86624657838	13.5087320430417
rna-BSU_misc_RNA_35	62052	1216	401	355244.635269007	827.475528477913
rna-BSU_misc_RNA_78	459	3	308	3421.19702719892	2.65788688898808
rna-BSU_misc_RNA_36	314	5	145	4971.38918029392	9.40953059549805
rna-BSU_misc_RNA_91	187	6	246	1745.10923338602	6.65552164071813
rna-BSU_misc_RNA_37	253	8	200	2904.06707132297	10.9150554907777
rna-BSU_tRNA_73	21	0	71	679.011395621916	0
rna-BSU_misc_RNA_39	960	39	175	12593.5827824734	60.8124520200474
rna-BSU_misc_RNA_79	163	3	91	4112.08732680923	8.99592485503659
rna-BSU_misc_RNA_80	69	11	259	611.597136817754	11.5893446330652
rna-BSU_misc_RNA_81	283	5	223	2913.38372244953	6.11830464729694
rna-BSU_misc_RNA_92	228	3	139	3765.61715393202	5.88941843027575
rna-BSU_misc_RNA_82	20	2	101	454.595088063706	5.4034928172167
rna-BSU_misc_RNA_40	750	17	208	8277.78315404464	22.3023970364449
rna-BSU_misc_RNA_41	1250	30	201	14276.7735990156	40.7278189954393
rna-BSU_misc_RNA_42	1034	49	233	10187.8076023273	57.3860213570932
rna-BSU_misc_RNA_43	2830	164	76	85484.8118560849	588.83851989722
rna-BSU_misc_RNA_44	1320	27	223	13588.9276100119	33.0388450954035
rna-BSU_misc_RNA_45	81	3	247	752.842594220481	3.31428810448717
rna-BSU_tRNA_84	13	0	74	403.299561234896	0
rna-BSU_misc_RNA_46	584	10	180	7448.28796509712	15.1597992927469
rna-BSU_misc_RNA_47	1338	19	140	21940.3825038404	37.0332239865673
rna-BSU_misc_RNA_48	682	26	248	6313.18928548472	28.6080083427642
rna-BSU_misc_RNA_93	728	136	133	12565.9652763715	279.031493749205
rna-BSU_misc_RNA_83	595	16	274	4985.19923671321	15.9343875777777
rna-BSU_misc_RNA_49	1155	29	215	12332.7418600167	36.8065824689017
rna-BSU_misc_RNA_50	1241	27	139	20496.1881053932	53.0047658724818
rna-BSU_tRNA_72	528	7	72	16835.1714279592	26.529648762307
rna-BSU_tRNA_71	870	11	91	21947.9507627241	32.9850578018008
rna-BSU_tRNA_70	175	5	75	5356.64545435067	18.1917591512962
rna-BSU_tRNA_69	154	2	77	4591.41038944343	7.08769837063489
rna-BSU_tRNA_68	186	4	74	5770.2860299762	14.7500749875375
rna-BSU_tRNA_67	432	16	76	13049.271633155	57.4476604777775
rna-BSU_tRNA_66	122	1	76	3685.21097047433	3.5904787798611
rna-BSU_tRNA_65	132	3	77	3935.49461952294	10.6315475559523
rna-BSU_tRNA_64	114	6	77	3398.83626231527	21.2630951119047
rna-BSU_tRNA_63	1539	8	93	37990.2182223303	23.4732376145758
rna-BSU_tRNA_62	193	10	77	5754.17016339339	35.4384918531745
rna-BSU_tRNA_61	279	7	77	8318.20453671894	24.8069442972221
rna-BSU_tRNA_60	81	2	73	2547.28932565012	7.47606540464228
rna-BSU_tRNA_59	76	2	77	2265.89084154351	7.08769837063489
rna-BSU_tRNA_58	78	2	77	2325.51954789992	7.08769837063489
rna-BSU_tRNA_57	375	4	86	10010.3424188447	12.6919249892764
rna-BSU_tRNA_56	91	5	75	2785.45563626235	18.1917591512962
rna-BSU_tRNA_55	809	11	87	21347.4195693088	34.5016121834928
rna-BSU_tRNA_54	167	4	76	5044.51009892798	14.3619151194444
rna-BSU_tRNA_53	267	11	76	8065.17482882497	39.4952665784721
rna-BSU_tRNA_52	146	6	76	4410.17050564961	21.5428726791666
rna-BSU_rRNA_21	66	184	118	1284.03849874265	425.50216319981
rna-BSU_rRNA_20	24312	286640	2928	19061.880018468	26713.554524219
rna-BSU_rRNA_19	9151	150286	1555	13509.9667118318	26372.6692843573
rna-BSU_misc_RNA_51	153	18	102	3443.55779208257	48.1546565769606
rna-BSU_misc_RNA_52	266	2	169	3613.35847216554	3.22930635821826
rna-BSU_tRNA_86	6	0	73	188.688098196305	0
rna-BSU_ncRNA_2	2	0	132	34.7834120412381	0
rna-BSU_misc_RNA_84	140	4	248	1295.96260992355	4.40123205273296
rna-BSU_misc_RNA_53	713	12	107	15297.5495685662	30.6029593199376
rna-BSU_misc_RNA_85	187	3	131	3277.07535429741	6.24907757105595
rna-BSU_misc_RNA_54	313	8	180	3991.97625526609	12.1278394341975
rna-BSU_misc_RNA_55	27756	499	360	176998.870513044	378.236992354034
rna-BSU_misc_RNA_56	692	16	236	6731.47455401452	18.5000940521657
rna-BSU_tRNA_81	69	2	76	2084.25866362893	7.18095755972219
rna-BSU_misc_RNA_57	127	1	222	1313.30882761107	1.22917291562812
rna-BSU_misc_RNA_58	175	8	222	1809.67751836171	9.83338332502499
rna-BSU_misc_RNA_59	8	2	207	88.7229060762015	2.63648683352119
rna-BSU_misc_RNA_60	352	9	103	7845.51678196159	23.8435678196601
rna-BSU_misc_RNA_61	213	8	107	4569.95520070771	20.4019728799584
rna-BSU_misc_RNA_62	33	0	107	708.02122827866	0
rna-BSU_misc_RNA_63	16	0	103	356.614399180072	0
rna-BSU_misc_RNA_86	25	1	413	138.965205491629	0.660717644720202
rna-BSU_tRNA_1	255	3	73	8019.24417334298	11.2140981069634
rna-BSU_tRNA_2	310	4	77	9242.44948524327	14.1753967412698
rna-BSU_tRNA_3	429	4	72	13678.5767852169	15.1597992927469
rna-BSU_tRNA_4	405	11	76	12233.6921560828	39.4952665784721
rna-BSU_misc_RNA_94	11	1	118	214.006416457109	2.31251175652071
