# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "3" "-t" "exon" "-g" "Parent" "-a" "../Reference_data/genomic.gff" "-o" "feature_counts.txt" "-p" "SRR10775299_tot.bam" "SRR10775298_dep.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10775299_tot.bam	SRR10775298_dep.bam
rna-BSU_misc_RNA_3	NC_000964.3	119855	119995	+	141	103	5790
rna-BSU_misc_RNA_4	NC_000964.3	153737	153793	+	57	35	540
rna-BSU_rRNA_23	NC_000964.3	160893	162445	+	1553	109990	6147
rna-BSU_rRNA_14	NC_000964.3	162610	165535	+	2926	220336	17659
rna-BSU_rRNA_15	NC_000964.3	165591	165707	+	117	163	50
rna-BSU_tRNA_23	NC_000964.3	165754	165825	+	72	21	17
rna-BSU_tRNA_24	NC_000964.3	165830	165902	+	73	4	101
rna-BSU_tRNA_25	NC_000964.3	165959	166033	+	75	2	79
rna-BSU_tRNA_26	NC_000964.3	166064	166140	+	77	3	70
rna-BSU_tRNA_27	NC_000964.3	166168	166244	+	77	2	83
rna-BSU_tRNA_28	NC_000964.3	166253	166328	+	76	1	32
rna-BSU_rRNA_16	NC_000964.3	166500	168053	+	1554	115955	6302
rna-BSU_rRNA_29	NC_000964.3	168218	171141	+	2924	204117	17432
rna-BSU_rRNA_24	NC_000964.3	171197	171314	+	118	175	43
rna-BSU_rRNA_25	NC_000964.3	171498	173049	+	1552	124580	6943
rna-BSU_rRNA_27	NC_000964.3	173214	176141	+	2928	234895	19091
rna-BSU_rRNA_28	NC_000964.3	176197	176315	+	119	183	48
rna-BSU_tRNA_75	NC_000964.3	194205	194279	+	75	1	301
rna-BSU_tRNA_78	NC_000964.3	194283	194358	+	76	4	113
rna-BSU_tRNA_76	NC_000964.3	194363	194435	+	73	3	162
rna-BSU_tRNA_77	NC_000964.3	194458	194542	+	85	9	406
rna-BSU_tRNA_74	NC_000964.3	194547	194621	+	75	9	538
rna-BSU_misc_RNA_5	NC_000964.3	200017	200187	+	171	22	711
rna-BSU_misc_RNA_6	NC_000964.3	276815	277062	+	248	11	226
rna-BSU_misc_RNA_64	NC_000964.3	474329	474597	-	269	21	583
rna-BSU_misc_RNA_7	NC_000964.3	486092	486235	+	144	4	416
rna-BSU_tRNA_45	NC_000964.3	528704	528778	+	75	3	213
rna-BSU_tRNA_46	NC_000964.3	528783	528873	+	91	36	1514
rna-BSU_tRNA_47	NC_000964.3	528903	528974	+	72	16	1260
rna-BSU_tRNA_48	NC_000964.3	528986	529060	+	75	17	821
rna-BSU_tRNA_49	NC_000964.3	529087	529162	+	76	6	199
rna-BSU_tRNA_50	NC_000964.3	529174	529255	+	82	25	836
rna-BSU_tRNA_51	NC_000964.3	529336	529422	+	87	22	925
rna-BSU_misc_RNA_65	NC_000964.3	532583	532642	-	60	0	2
rna-BSU_misc_RNA_66	NC_000964.3	559532	559610	-	79	0	2
rna-BSU_misc_RNA_8	NC_000964.3	626346	626446	-	101	0	11
rna-BSU_tRNA_79	NC_000964.3	635110	635186	+	77	6	189
rna-BSU_tRNA_80	NC_000964.3	635200	635273	+	74	51	247
rna-BSU_rRNA_30	NC_000964.3	635433	636987	+	1555	129510	7164
rna-BSU_rRNA_12	NC_000964.3	637155	640082	+	2928	240336	18985
rna-BSU_rRNA_13	NC_000964.3	640138	640254	+	117	145	59
rna-BSU_tRNA_21	NC_000964.3	640268	640344	+	77	12	114
rna-BSU_tRNA_22	NC_000964.3	640405	640481	+	77	5	138
rna-BSU_misc_RNA_9	NC_000964.3	694425	694527	+	103	8	410
rna-BSU_misc_RNA_10	NC_000964.3	698369	698471	+	103	2	102
rna-BSU_rRNA_22	NC_000964.3	946696	948250	+	1555	127920	7139
rna-BSU_rRNA_17	NC_000964.3	948418	951345	+	2928	238837	19318
rna-BSU_rRNA_18	NC_000964.3	951457	951572	+	116	192	106
rna-BSU_tRNA_29	NC_000964.3	951582	951656	+	75	5	26
rna-BSU_tRNA_30	NC_000964.3	951662	951753	+	92	24	663
rna-BSU_tRNA_31	NC_000964.3	951788	951859	+	72	4	517
rna-BSU_tRNA_32	NC_000964.3	951869	951944	+	76	4	137
rna-BSU_tRNA_33	NC_000964.3	951954	952030	+	77	3	87
rna-BSU_tRNA_34	NC_000964.3	952042	952118	+	77	8	185
rna-BSU_tRNA_35	NC_000964.3	952131	952206	+	76	2	95
rna-BSU_tRNA_36	NC_000964.3	952212	952284	+	73	3	167
rna-BSU_tRNA_37	NC_000964.3	952307	952391	+	85	6	335
rna-BSU_tRNA_38	NC_000964.3	952397	952470	+	74	1	117
rna-BSU_tRNA_39	NC_000964.3	952495	952570	+	76	22	601
rna-BSU_tRNA_40	NC_000964.3	952580	952651	+	72	13	736
rna-BSU_tRNA_41	NC_000964.3	952701	952775	+	75	11	242
rna-BSU_tRNA_42	NC_000964.3	952781	952851	+	71	2	113
rna-BSU_tRNA_43	NC_000964.3	952859	952947	+	89	3	383
rna-BSU_tRNA_44	NC_000964.3	953213	953294	+	82	2	193
rna-BSU_misc_RNA_11	NC_000964.3	955655	955762	+	108	3	225
rna-BSU_tRNA_82	NC_000964.3	967065	967138	+	74	1	138
rna-BSU_misc_RNA_12	NC_000964.3	1180685	1180802	-	118	4	204
rna-BSU_misc_RNA_13	NC_000964.3	1219164	1219378	-	215	18	562
rna-BSU_misc_RNA_67	NC_000964.3	1233405	1233543	+	139	11	520
rna-BSU_misc_RNA_14	NC_000964.3	1242262	1242370	+	109	5	205
rna-BSU_misc_RNA_15	NC_000964.3	1258304	1258424	+	121	0	10
rna-BSU_tRNA_83	NC_000964.3	1262789	1262861	+	73	0	78
rna-BSU_misc_RNA_16	NC_000964.3	1376328	1376439	+	112	0	12
rna-BSU_misc_RNA_17	NC_000964.3	1378233	1378443	+	211	23	666
rna-BSU_misc_RNA_18	NC_000964.3	1385736	1385891	-	156	1	107
rna-BSU_misc_RNA_19	NC_000964.3	1391739	1391851	-	113	9	374
rna-BSU_misc_RNA_68	NC_000964.3	1395622	1395775	+	154	4	205
rna-BSU_misc_RNA_87	NC_000964.3	1410633	1410766	+	134	7	280
rna-BSU_misc_RNA_20	NC_000964.3	1424527	1424683	-	157	1	45
rna-BSU_misc_RNA_21	NC_000964.3	1426876	1426976	+	101	4	257
rna-BSU_misc_RNA_22	NC_000964.3	1439274	1439318	+	45	0	39
rna-BSU_misc_RNA_88	NC_000964.3	1457005	1457156	+	152	74	737
rna-BSU_misc_RNA_69	NC_000964.3	1483557	1483640	+	84	0	2
rna-BSU_misc_RNA_70	NC_000964.3	1534070	1534280	+	211	0	62
rna-BSU_misc_RNA_23	NC_000964.3	1569199	1569319	+	121	4	44
rna-BSU_misc_RNA_24	NC_000964.3	1607367	1607468	+	102	3	32
rna-BSU_misc_RNA_25	NC_000964.3	1613078	1613304	+	227	28	1691
rna-BSU_misc_RNA_26	NC_000964.3	1618161	1618277	+	117	1	178
rna-BSU_misc_RNA_27	NC_000964.3	1618853	1618970	+	118	8	291
rna-BSU_misc_RNA_28	NC_000964.3	1620331	1620445	+	115	2	135
rna-BSU_misc_RNA_29	NC_000964.3	1630115	1630220	+	106	1	18
rna-BSU_misc_RNA_30	NC_000964.3	1675981	1676022	+	42	135	1076
rna-BSU_misc_RNA_71	NC_000964.3	1731457	1731674	+	218	5	171
rna-BSU_misc_RNA_89	NC_000964.3	1780404	1780554	-	151	1	11
rna-BSU_misc_RNA_72	NC_000964.3	1914992	1915272	-	281	0	2
rna-BSU_misc_RNA_73	NC_000964.3	1917501	1917580	+	80	0	11
rna-BSU_tRNA_85	NC_000964.3	2003276	2003348	-	73	0	6
rna-BSU_misc_RNA_31	NC_000964.3	2025160	2025251	-	92	0	30
rna-BSU_misc_RNA_74	NC_000964.3	2069732	2070115	-	384	3	413
rna-BSU_misc_RNA_75	NC_000964.3	2079096	2079203	+	108	0	268
rna-BSU_misc_RNA_32	NC_000964.3	2095909	2096111	-	203	68	6721
rna-BSU_misc_RNA_76	NC_000964.3	2160390	2161194	-	805	1	3
rna-BSU_misc_RNA_33	NC_000964.3	2164643	2164894	-	252	0	1
rna-BSU_ncRNA_1	NC_000964.3	2208590	2208880	-	291	5	85
rna-BSU_misc_RNA_90	NC_000964.3	2219743	2219849	+	107	1	9
rna-BSU_misc_RNA_77	NC_000964.3	2273705	2273884	-	180	3	200
rna-BSU_misc_RNA_34	NC_000964.3	2320113	2320213	-	101	5	56
rna-BSU_misc_RNA_35	NC_000964.3	2331320	2331720	-	401	1216	62052
rna-BSU_misc_RNA_78	NC_000964.3	2410581	2410888	-	308	3	459
rna-BSU_misc_RNA_36	NC_000964.3	2431473	2431617	-	145	5	314
rna-BSU_misc_RNA_91	NC_000964.3	2472880	2473125	+	246	6	187
rna-BSU_misc_RNA_37	NC_000964.3	2549407	2549606	-	200	8	253
rna-BSU_tRNA_73	NC_000964.3	2563889	2563959	+	71	0	21
rna-BSU_misc_RNA_39	NC_000964.3	2608732	2608906	-	175	39	960
rna-BSU_misc_RNA_79	NC_000964.3	2625952	2626042	+	91	3	163
rna-BSU_misc_RNA_80	NC_000964.3	2647405	2647663	-	259	11	69
rna-BSU_misc_RNA_81	NC_000964.3	2678343	2678565	-	223	5	283
rna-BSU_misc_RNA_92	NC_000964.3	2678876	2679014	-	139	3	228
rna-BSU_misc_RNA_82	NC_000964.3	2773783	2773883	+	101	2	20
rna-BSU_misc_RNA_40	NC_000964.3	2800890	2801097	-	208	17	750
rna-BSU_misc_RNA_41	NC_000964.3	2814491	2814691	-	201	30	1250
rna-BSU_misc_RNA_42	NC_000964.3	2817899	2818131	-	233	49	1034
rna-BSU_misc_RNA_43	NC_000964.3	2855840	2855915	-	76	164	2830
rna-BSU_misc_RNA_44	NC_000964.3	2869366	2869588	-	223	27	1320
rna-BSU_misc_RNA_45	NC_000964.3	2897094	2897340	-	247	3	81
rna-BSU_tRNA_84	NC_000964.3	2899816	2899889	-	74	0	13
rna-BSU_misc_RNA_46	NC_000964.3	2910872	2911051	-	180	10	584
rna-BSU_misc_RNA_47	NC_000964.3	2953411	2953550	-	140	19	1338
rna-BSU_misc_RNA_48	NC_000964.3	2961232	2961479	-	248	26	682
rna-BSU_misc_RNA_93	NC_000964.3	3035589	3035721	+	133	136	728
rna-BSU_misc_RNA_83	NC_000964.3	3037895	3038168	-	274	16	595
rna-BSU_misc_RNA_49	NC_000964.3	3105153	3105367	-	215	29	1155
rna-BSU_misc_RNA_50	NC_000964.3	3129195	3129333	-	139	27	1241
rna-BSU_tRNA_72	NC_000964.3	3171879	3171950	-	72	7	528
rna-BSU_tRNA_71	NC_000964.3	3171976	3172066	-	91	11	870
rna-BSU_tRNA_70	NC_000964.3	3172070	3172144	-	75	5	175
rna-BSU_tRNA_69	NC_000964.3	3172155	3172231	-	77	2	154
rna-BSU_tRNA_68	NC_000964.3	3172247	3172320	-	74	4	186
rna-BSU_tRNA_67	NC_000964.3	3172331	3172406	-	76	16	432
rna-BSU_tRNA_66	NC_000964.3	3172424	3172499	-	76	1	122
rna-BSU_tRNA_65	NC_000964.3	3172512	3172588	-	77	3	132
rna-BSU_tRNA_64	NC_000964.3	3172600	3172676	-	77	6	114
rna-BSU_tRNA_63	NC_000964.3	3172694	3172786	-	93	8	1539
rna-BSU_tRNA_62	NC_000964.3	3172793	3172869	-	77	10	193
rna-BSU_tRNA_61	NC_000964.3	3172872	3172948	-	77	7	279
rna-BSU_tRNA_60	NC_000964.3	3172968	3173040	-	73	2	81
rna-BSU_tRNA_59	NC_000964.3	3173046	3173122	-	77	2	76
rna-BSU_tRNA_58	NC_000964.3	3173138	3173214	-	77	2	78
rna-BSU_tRNA_57	NC_000964.3	3173224	3173309	-	86	4	375
rna-BSU_tRNA_56	NC_000964.3	3173324	3173398	-	75	5	91
rna-BSU_tRNA_55	NC_000964.3	3173404	3173490	-	87	11	809
rna-BSU_tRNA_54	NC_000964.3	3173501	3173576	-	76	4	167
rna-BSU_tRNA_53	NC_000964.3	3173614	3173689	-	76	11	267
rna-BSU_tRNA_52	NC_000964.3	3173722	3173797	-	76	6	146
rna-BSU_rRNA_21	NC_000964.3	3173818	3173935	-	118	184	66
rna-BSU_rRNA_20	NC_000964.3	3173991	3176918	-	2928	286640	24312
rna-BSU_rRNA_19	NC_000964.3	3177086	3178640	-	1555	150286	9151
rna-BSU_misc_RNA_51	NC_000964.3	3179105	3179206	+	102	18	153
rna-BSU_misc_RNA_52	NC_000964.3	3188173	3188341	+	169	2	266
rna-BSU_tRNA_86	NC_000964.3	3194455	3194527	-	73	0	6
rna-BSU_ncRNA_2	NC_000964.3	3335414	3335545	-	132	0	2
rna-BSU_misc_RNA_84	NC_000964.3	3360937	3361184	-	248	4	140
rna-BSU_misc_RNA_53	NC_000964.3	3364397	3364503	-	107	12	713
rna-BSU_misc_RNA_85	NC_000964.3	3404546	3404676	-	131	3	187
rna-BSU_misc_RNA_54	NC_000964.3	3421169	3421348	-	180	8	313
rna-BSU_misc_RNA_55	NC_000964.3	3450712	3451071	-	360	499	27756
rna-BSU_misc_RNA_56	NC_000964.3	3491322	3491557	-	236	16	692
rna-BSU_tRNA_81	NC_000964.3	3545889	3545964	-	76	2	69
rna-BSU_misc_RNA_57	NC_000964.3	3856226	3856447	-	222	1	127
rna-BSU_misc_RNA_58	NC_000964.3	3856479	3856700	-	222	8	175
rna-BSU_misc_RNA_59	NC_000964.3	3946910	3947116	+	207	2	8
rna-BSU_misc_RNA_60	NC_000964.3	3988840	3988942	-	103	9	352
rna-BSU_misc_RNA_61	NC_000964.3	3997775	3997881	+	107	8	213
rna-BSU_misc_RNA_62	NC_000964.3	3999166	3999272	+	107	0	33
rna-BSU_misc_RNA_63	NC_000964.3	4005523	4005625	+	103	0	16
rna-BSU_misc_RNA_86	NC_000964.3	4096997	4097409	+	413	1	25
rna-BSU_tRNA_1	NC_000964.3	4154787	4154859	-	73	3	255
rna-BSU_tRNA_2	NC_000964.3	4154895	4154971	-	77	4	310
rna-BSU_tRNA_3	NC_000964.3	4155053	4155124	-	72	4	429
rna-BSU_tRNA_4	NC_000964.3	4155134	4155209	-	76	11	405
rna-BSU_misc_RNA_94	NC_000964.3	4169802	4169919	-	118	1	11
