Geneid	Chr	Start	End	Strand	Length	depleted	total
rna-CCNA_R0130	NC_011916.1	1136823	1136907	-	85	8	0
rna-CCNA_R0024	NC_011916.1	1141901	1141990	+	90	3369	25
rna-CCNA_R0025	NC_011916.1	1175968	1176304	+	337	122	9
rna-CCNA_R0131	NC_011916.1	1176250	1176311	+	62	2	0
rna-CCNA_R0026	NC_011916.1	1213683	1213757	+	75	1609	37
rna-CCNA_R0027	NC_011916.1	1213808	1213882	+	75	2031	42
rna-CCNA_R0132	NC_011916.1	1246251	1246366	+	116	553	17
rna-CCNA_R0133	NC_011916.1	1247598	1247664	-	67	32	1
rna-CCNA_R0028	NC_011916.1	1291593	1291668	-	76	348	12
rna-CCNA_R0134	NC_011916.1	1294595	1294669	+	75	20	0
rna-CCNA_R0135	NC_011916.1	1315307	1315381	-	75	7	0
rna-CCNA_R0136	NC_011916.1	1359047	1359132	+	86	63	1
rna-CCNA_R0137	NC_011916.1	1387617	1387892	-	276	55	1
rna-CCNA_R0029	NC_011916.1	1399934	1400008	-	75	98	0
rna-CCNA_R0030	NC_011916.1	1423164	1423249	+	86	6130	123
rna-CCNA_R0031	NC_011916.1	1423360	1423433	+	74	2098	46
rna-CCNA_R0032	NC_011916.1	1491642	1491707	+	66	49	4
rna-CCNA_R0033	NC_011916.1	1491776	1491850	+	75	459	8
rna-CCNA_R0034	NC_011916.1	1491986	1492060	+	75	302	6
rna-CCNA_R0138	NC_011916.1	1523671	1524041	-	371	329	7
rna-CCNA_R0139	NC_011916.1	1523962	1524041	+	80	0	0
rna-CCNA_R0140	NC_011916.1	1524470	1524552	-	83	74	2
rna-CCNA_R0035	NC_011916.1	1549367	1549443	+	77	1271	15
rna-CCNA_R0036	NC_011916.1	1564876	1564950	+	75	1451	15
rna-CCNA_R0037	NC_011916.1	1564996	1565070	+	75	1638	29
rna-CCNA_R0038	NC_011916.1	1566421	1566497	+	77	134	8
rna-CCNA_R0039	NC_011916.1	1566858	1566934	+	77	200	4
rna-CCNA_R0141	NC_011916.1	1607671	1607996	-	326	139	2
rna-CCNA_R0040	NC_011916.1	1645113	1645326	+	214	131	8
rna-CCNA_R0142	NC_011916.1	1682820	1682976	+	157	13	0
rna-CCNA_R0143	NC_011916.1	1702213	1702292	+	80	19	0
rna-CCNA_R0144	NC_011916.1	1714891	1714984	+	94	365	4
rna-CCNA_R0041	NC_011916.1	1782039	1782113	+	75	422	13
rna-CCNA_R0145	NC_011916.1	1911195	1911615	+	421	226	8
rna-CCNA_R0042	NC_011916.1	1915870	1916013	+	144	512	14
rna-CCNA_R0146	NC_011916.1	1926680	1926746	-	67	196	3
rna-CCNA_R0147	NC_011916.1	1986625	1986741	+	117	30	0
rna-CCNA_R0148	NC_011916.1	1997162	1997282	+	121	154	2
rna-CCNA_R0149	NC_011916.1	2003589	2003693	+	105	91	1
rna-CCNA_R0150	NC_011916.1	2039150	2039245	+	96	7	1
rna-CCNA_R0043	NC_011916.1	2044469	2044558	+	90	610	4
rna-CCNA_R0044	NC_011916.1	2059848	2059942	-	95	34	1
rna-CCNA_R0151	NC_011916.1	2083537	2083622	+	86	87	1
rna-CCNA_R0152	NC_011916.1	2086425	2086939	+	515	250	9
rna-CCNA_R0045	NC_011916.1	2177672	2177748	+	77	2593	48
rna-CCNA_R0046	NC_011916.1	2177813	2177889	+	77	2368	28
rna-CCNA_R0047	NC_011916.1	2180469	2180543	-	75	95	4
rna-CCNA_R0048	NC_011916.1	2188564	2188648	-	85	642	5
rna-CCNA_R0153	NC_011916.1	2208834	2208917	+	84	32	1
rna-CCNA_R0154	NC_011916.1	2304965	2305194	-	230	136	2
rna-CCNA_R0155	NC_011916.1	2314449	2314537	+	89	12	0
rna-CCNA_R0049	NC_011916.1	2338501	2338584	+	84	1081	9
rna-CCNA_R0049-2	NC_011916.1	2338614	2338825	+	212	66003	1137
rna-CCNA_R0206	NC_011916.1	2338874	2338906	+	33	21	2
rna-CCNA_R0156	NC_011916.1	2340117	2340394	-	278	95	3
rna-CCNA_R0157	NC_011916.1	2383511	2383595	-	85	5	0
rna-CCNA_R0050	NC_011916.1	2397735	2397828	+	94	98	1
rna-CCNA_R0051	NC_011916.1	2404309	2404501	+	193	178	7
rna-CCNA_R0052	NC_011916.1	2408899	2408983	-	85	6671	113
rna-CCNA_R0207	NC_011916.1	2417906	2417986	-	81	72	1
rna-CCNA_R0053	NC_011916.1	2421800	2421884	-	85	17465	33
rna-CCNA_R0158	NC_011916.1	2428924	2429018	+	95	8	0
rna-CCNA_R0159	NC_011916.1	2434068	2434564	+	497	65	0
rna-CCNA_R0160	NC_011916.1	2444162	2444238	+	77	69	4
rna-CCNA_R0161	NC_011916.1	2454832	2454911	+	80	25	0
rna-CCNA_R0054	NC_011916.1	2456952	2457026	+	75	57	7
rna-CCNA_R0162	NC_011916.1	2466880	2466948	+	69	37	0
rna-CCNA_R0055	NC_011916.1	2521468	2521543	-	76	31	1
rna-CCNA_R0056	NC_011916.1	2535064	2535138	+	75	685	13
rna-CCNA_R0163	NC_011916.1	2559833	2560042	-	210	84	5
rna-CCNA_R0057	NC_011916.1	2563345	2563421	-	77	206	10
rna-CCNA_R0058	NC_011916.1	2568658	2568733	-	76	1310	18
rna-CCNA_R0059	NC_011916.1	2577622	2577696	+	75	630	6
rna-CCNA_R0060	NC_011916.1	2607991	2608064	+	74	9	1
rna-CCNA_R0164	NC_011916.1	2608032	2608458	-	427	155	10
rna-CCNA_R0062	NC_011916.1	2656418	2656508	-	91	6124	28
rna-CCNA_R0165	NC_011916.1	2671861	2672357	-	497	158	3
rna-CCNA_R0166	NC_011916.1	2689312	2689372	-	61	25	1
rna-CCNA_R0167	NC_011916.1	2703165	2703649	-	485	103	3
rna-CCNA_R0168	NC_011916.1	2745117	2745628	+	512	244	8
rna-CCNA_R0169	NC_011916.1	2752895	2753361	+	467	23	1
rna-CCNA_R0170	NC_011916.1	2778348	2778532	+	185	94	3
rna-CCNA_R0171	NC_011916.1	2800063	2800304	+	242	36	1
rna-CCNA_R0061	NC_011916.1	2800323	2800722	-	400	46936	1063
rna-CCNA_R0208	NC_011916.1	2844734	2844757	-	24	13	1
rna-CCNA_R0064	NC_011916.1	2862298	2862374	-	77	1144	38
rna-CCNA_R0065	NC_011916.1	2862438	2862555	-	118	5860	42791
rna-CCNA_R0066	NC_011916.1	2862654	2865446	-	2793	366163	1209002
rna-CCNA_R0067	NC_011916.1	2865742	2865817	-	76	4588	124
rna-CCNA_R0068	NC_011916.1	2865885	2865961	-	77	8088	265
rna-CCNA_R0069	NC_011916.1	2866134	2867609	-	1476	50359	768770
rna-CCNA_R0063	NC_011916.1	2889176	2889287	+	112	130	3
rna-CCNA_R0071	NC_011916.1	2919418	2919502	+	85	103	0
rna-CCNA_R0172	NC_011916.1	2940596	2940670	-	75	362	3
rna-CCNA_R0173	NC_011916.1	2967347	2967588	-	242	58	0
rna-CCNA_R0174	NC_011916.1	2977449	2977700	+	252	74	7
rna-CCNA_R0070	NC_011916.1	2981024	2981107	-	84	47	1
rna-CCNA_R0072	NC_011916.1	3062858	3063001	-	144	447	5
rna-CCNA_R0175	NC_011916.1	3082626	3082718	-	93	31	0
rna-CCNA_R0176	NC_011916.1	3091335	3091482	-	148	1560	16
rna-CCNA_R0177	NC_011916.1	3111902	3112088	+	187	10	1
rna-CCNA_R0178	NC_011916.1	3170129	3170209	-	81	58	0
rna-CCNA_R0073	NC_011916.1	3170300	3170443	-	144	426	10
rna-CCNA_R0209	NC_011916.1	3184758	3184797	+	40	32	0
rna-CCNA_R0179	NC_011916.1	3265823	3265917	-	95	37	2
rna-CCNA_R0180	NC_011916.1	3266851	3266937	-	87	86	3
rna-CCNA_R0181	NC_011916.1	3267386	3267470	-	85	29	1
rna-CCNA_R0182	NC_011916.1	3288242	3288365	+	124	39	2
rna-CCNA_R0183	NC_011916.1	3294320	3294566	+	247	369	19
rna-CCNA_R0184	NC_011916.1	3328565	3328652	+	88	115	0
rna-CCNA_R0185	NC_011916.1	3377939	3378229	+	291	120	2
rna-CCNA_R0186	NC_011916.1	3426526	3426575	-	50	3	0
rna-CCNA_R0075	NC_011916.1	3443871	3443947	-	77	496	12
rna-CCNA_R0187	NC_011916.1	3451608	3451662	+	55	34	0
rna-CCNA_R0188	NC_011916.1	3462949	3463206	+	258	165	3
rna-CCNA_R0076	NC_011916.1	3487433	3487508	-	76	1143	26
rna-CCNA_R0074	NC_011916.1	3497761	3497883	+	123	11	0
rna-CCNA_R0077	NC_011916.1	3532896	3533067	-	172	24630	522
rna-CCNA_R0189	NC_011916.1	3534837	3535031	+	195	183	4
rna-CCNA_R0190	NC_011916.1	3557618	3558187	+	570	186	7
rna-CCNA_R0191	NC_011916.1	3597865	3597941	+	77	58	1
rna-CCNA_R0192	NC_011916.1	3608537	3608624	+	88	9	0
rna-CCNA_R0078	NC_011916.1	3680958	3681108	+	151	13	0
rna-CCNA_R0210	NC_011916.1	3680993	3681106	-	114	0	0
rna-CCNA_R0193	NC_011916.1	3699499	3699665	+	167	27	2
rna-CCNA_R0194	NC_011916.1	3715402	3715677	+	276	748	61
rna-CCNA_R0079	NC_011916.1	3781365	3781500	+	136	0	0
rna-CCNA_R0093	NC_011916.1	3781372	3781500	-	129	0	0
rna-CCNA_R0080	NC_011916.1	3785285	3785457	+	173	61	2
rna-CCNA_R0195	NC_011916.1	3786554	3787019	+	466	394	13
rna-CCNA_R0196	NC_011916.1	3789578	3789645	-	68	429	5
rna-CCNA_R0082	NC_011916.1	3792331	3792407	-	77	1386	47
rna-CCNA_R0083	NC_011916.1	3792471	3792588	-	118	5444	38169
rna-CCNA_R0211	NC_011916.1	3792601	3792630	-	30	13	9
rna-CCNA_R0084	NC_011916.1	3792687	3795479	-	2793	346601	1178597
rna-CCNA_R0085	NC_011916.1	3795775	3795850	-	76	4717	162
rna-CCNA_R0086	NC_011916.1	3795918	3795994	-	77	7830	247
rna-CCNA_R0087	NC_011916.1	3796167	3797642	-	1476	50025	760447
rna-CCNA_R0081	NC_011916.1	3830130	3830241	+	112	183	5
rna-CCNA_R0197	NC_011916.1	3866270	3866732	-	463	187	9
rna-CCNA_R0089	NC_011916.1	3874441	3874516	+	76	2994	45
rna-CCNA_R0090	NC_011916.1	3882765	3882851	-	87	5235	21
rna-CCNA_R0198	NC_011916.1	3884073	3884162	+	90	240	6
rna-CCNA_R0091	NC_011916.1	3906450	3906525	-	76	261	17
rna-CCNA_R0088	NC_011916.1	3946037	3946176	+	140	133	12
rna-CCNA_R0092	NC_011916.1	3946278	3946395	+	118	205	2
rna-CCNA_R0199	NC_011916.1	3987216	3987334	+	119	192	10
