Gene_ID	Read_Counts_Depleted	Read_Counts_Total	Gene_Length	DepletedRPKM	TotalRPKM
rna-CCNA_R0040	131	8	214	521.90576335674	9.33760997737819
rna-CCNA_R0142	13	0	157	70.5957034890091	0
rna-CCNA_R0143	19	0	80	202.487484142033	0
rna-CCNA_R0144	365	4	94	3310.54565338598	10.6289815699943
rna-CCNA_R0041	422	13	75	4797.17716816493	43.2953849284436
rna-CCNA_R0145	226	8	421	457.678924026498	4.74643357519937
rna-CCNA_R0042	512	14	144	3031.39157545967	24.2842703925565
rna-CCNA_R0146	196	3	67	2494.11135219723	11.1842268758896
rna-CCNA_R0147	30	0	117	218.609969384111	0
rna-CCNA_R0148	154	2	121	1085.10039348841	4.12861267594821
rna-CCNA_R0149	91	1	105	738.901696518295	2.37886730376063
rna-CCNA_R0150	7	1	96	62.1672100436066	2.60188611348819
rna-CCNA_R0043	610	4	90	5778.59019072	11.101380750883
rna-CCNA_R0044	34	1	95	305.13349410877	2.62927438836702
rna-CCNA_R0151	87	1	86	862.492588511964	2.90443101040543
rna-CCNA_R0152	250	9	515	413.873243008754	4.36510602340544
rna-CCNA_R0045	2593	48	77	28710.8706154636	155.707678064332
rna-CCNA_R0046	2368	28	77	26219.5686916382	90.8294788708606
rna-CCNA_R0047	95	4	75	1079.93324875751	13.3216569010596
rna-CCNA_R0048	642	5	85	6439.47813345808	14.6930039349922
rna-CCNA_R0153	32	1	84	324.791954513536	2.97358412970079
rna-CCNA_R0154	136	2	230	504.133598962315	2.17200927734667
rna-CCNA_R0155	12	0	89	114.954455810971	0
rna-CCNA_R0049	1081	9	84	10971.8782134104	26.7622571673071
rna-CCNA_R0049-2	66003	1137	212	265437.565359019	1339.62770311068
rna-CCNA_R0206	21	2	33	542.550196744203	15.1382464784768
rna-CCNA_R0156	95	3	278	291.34889804609	2.69547913915324
rna-CCNA_R0157	5	0	85	50.1516988587078	0
rna-CCNA_R0050	98	1	94	888.858832963907	2.65724539249858
rna-CCNA_R0051	178	7	193	786.316273297668	9.05941693401071
rna-CCNA_R0052	6671	113	85	66912.396617288	332.061888930823
rna-CCNA_R0207	72	1	81	757.847893864918	3.08371687524527
rna-CCNA_R0053	17465	33	85	175179.884113466	96.9738259709482
rna-CCNA_R0158	8	0	95	71.796116260887	0
rna-CCNA_R0159	65	0	497	111.504280158696	0
rna-CCNA_R0160	69	4	77	763.999256639796	12.9756398386944
rna-CCNA_R0161	25	0	80	266.430900186885	0
rna-CCNA_R0054	57	7	75	647.959949254505	23.3128995768542
rna-CCNA_R0162	37	0	69	457.179979451119	0
rna-CCNA_R0055	31	1	76	347.762438138671	3.28659298545877
rna-CCNA_R0056	685	13	75	7786.88710946203	43.2953849284436
rna-CCNA_R0163	84	5	210	341.031552239213	5.94716825940159
rna-CCNA_R0057	206	10	77	2280.92531692461	32.4390995967359
rna-CCNA_R0058	1310	18	76	14695.7675471503	59.1586737382579
rna-CCNA_R0059	630	6	75	7161.66259702348	19.9824853515893
rna-CCNA_R0060	9	1	74	103.69202601868	3.3754198229036
rna-CCNA_R0164	155	10	427	309.484136985234	5.84967369777205
rna-CCNA_R0062	6124	28	91	57375.7479646413	76.8557128907282
rna-CCNA_R0165	158	3	497	271.041173308831	1.50773279815815
rna-CCNA_R0166	25	1	61	349.417574015587	4.09477158844044
rna-CCNA_R0167	103	3	485	181.063143714634	1.54503752718474
rna-CCNA_R0168	244	8	512	406.307122785	3.90282917023229
rna-CCNA_R0169	23	1	467	41.9899662821301	0.534863098275946
rna-CCNA_R0170	94	3	185	433.202242033595	4.05050378748432
rna-CCNA_R0171	36	1	242	126.829916122021	1.03215316898705
rna-CCNA_R0061	46936	1063	400	100041.605849373	663.793185273108
rna-CCNA_R0208	13	1	24	461.813560323934	10.4075444539528
rna-CCNA_R0064	1144	38	77	12666.8862260279	123.268578467597
rna-CCNA_R0065	5860	42791	118	42339.9342398684	90579.5053686292
rna-CCNA_R0066	366163	1209002	2793	111773.30492532	108122.380751173
rna-CCNA_R0067	4588	124	76	51468.8408445234	407.537530196888
rna-CCNA_R0068	8088	265	77	89553.9998217778	859.636139313502
rna-CCNA_R0069	50359	768770	1476	29088.766834713	130097.690241712
rna-CCNA_R0063	130	3	112	989.600486408431	6.69056429182679
rna-CCNA_R0071	103	0	85	1033.12499648938	0
rna-CCNA_R0172	362	3	75	4115.11406368651	9.99124267579467
rna-CCNA_R0173	58	0	242	204.337087085479	0
rna-CCNA_R0174	74	7	252	250.360464937518	6.93836296930185
rna-CCNA_R0070	47	1	84	477.038183191757	2.97358412970079
rna-CCNA_R0072	447	5	144	2646.54694185639	8.67295371162731
rna-CCNA_R0175	31	0	93	284.192960199344	0
rna-CCNA_R0176	1560	16	148	8986.64225495224	27.0033585832288
rna-CCNA_R0177	10	1	187	45.5924535079162	1.33572763045383
rna-CCNA_R0178	58	0	81	610.488581168962	0
rna-CCNA_R0073	426	10	144	2522.21252176918	17.3459074232546
rna-CCNA_R0209	32	0	40	682.063104478426	0
rna-CCNA_R0179	37	2	95	332.057037706602	5.25854877673404
rna-CCNA_R0180	86	3	87	842.77912334978	8.61314023775402
rna-CCNA_R0181	29	1	85	290.879853380505	2.93860078699843
rna-CCNA_R0182	39	2	124	268.149809220349	4.02872688540107
rna-CCNA_R0183	369	19	247	1273.690716359	19.213928222682
rna-CCNA_R0184	115	0	88	1114.1655825997	0
rna-CCNA_R0185	120	2	291	351.57891983424	1.7167083635386
rna-CCNA_R0186	3	0	50	51.154732835882	0
rna-CCNA_R0075	496	12	77	5491.93668541071	38.9269195160831
rna-CCNA_R0187	34	0	55	527.048762551511	0
rna-CCNA_R0188	165	3	258	545.253935266184	2.90443101040543
rna-CCNA_R0076	1143	26	76	12822.3376384678	85.4514176219281
rna-CCNA_R0074	11	0	123	76.2468917607997	0
rna-CCNA_R0077	24630	522	172	122087.312960056	758.056493715816
rna-CCNA_R0189	183	4	195	800.112487945846	5.12371419271521
rna-CCNA_R0190	186	7	570	278.209950510937	3.06748678642819
rna-CCNA_R0191	58	1	77	642.20227369722	3.24390995967359
rna-CCNA_R0192	9	0	88	87.1955673338897	0
rna-CCNA_R0078	13	0	151	73.4008307799631	0
rna-CCNA_R0210	0	0	114	0	0
rna-CCNA_R0193	27	2	167	137.842094467945	2.99139002269301
rna-CCNA_R0194	748	61	276	2310.61232857728	55.2052357992278
rna-CCNA_R0079	0	0	136	0	0
rna-CCNA_R0093	0	0	129	0	0
rna-CCNA_R0080	61	2	173	300.620298939191	2.88764239184817
rna-CCNA_R0195	394	13	466	720.849954840397	6.96814135114435
rna-CCNA_R0196	429	5	68	5378.76970259641	18.3662549187402
rna-CCNA_R0082	1386	47	77	15346.4198507646	152.463768104659
rna-CCNA_R0083	5444	38169	118	39334.2324235228	80795.7079856794
rna-CCNA_R0211	13	9	30	369.450848259148	74.93432006846
rna-CCNA_R0084	346601	1178597	2793	105801.894949574	105403.228105653
rna-CCNA_R0085	4717	162	76	52915.9813129069	532.428063644321
rna-CCNA_R0086	7830	247	77	86697.3069491247	801.245760039378
rna-CCNA_R0087	50025	760447	1476	28895.8390934394	128689.202558944
rna-CCNA_R0081	183	5	112	1393.05299240571	11.150940486378
rna-CCNA_R0197	187	9	463	344.346113762057	4.85535551199525
rna-CCNA_R0089	2994	45	76	33587.1206382962	147.896684345645
rna-CCNA_R0090	5235	21	87	51301.7291946058	60.2919816642782
rna-CCNA_R0198	240	6	90	2273.54368159475	16.6520711263244
rna-CCNA_R0091	261	17	76	2927.9353662643	55.8720807527991
rna-CCNA_R0088	133	12	140	809.949936568131	21.4098057338457
rna-CCNA_R0092	205	2	118	1481.17517392031	4.23357740499774
rna-CCNA_R0199	192	10	119	1375.58945441027	20.9900056214174
