# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "6" "-t" "exon" "-g" "Parent" "-a" "../Reference_data/genomic.gff" "-o" "feature_counts.txt" "-p" "SRR10775302.bam" "SRR10775303.bam" "SRR10775304.bam" "SRR10775305.bam" "SRR10775306.bam" "SRR10775307.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10775302.bam	SRR10775303.bam	SRR10775304.bam	SRR10775305.bam	SRR10775306.bam	SRR10775307.bam
rna-b2348	NC_000913.3	2466309	2466383	+	75	25	15	33	19	6	34
rna-b2396	NC_000913.3	2518041	2518116	-	76	4445	3820	7772	6363	2215	16374
rna-b2397	NC_000913.3	2518156	2518231	-	76	4795	4831	7100	6788	3090	17868
rna-b2401	NC_000913.3	2520931	2521006	+	76	8125	2491	15336	12296	1754	36547
rna-b2402	NC_000913.3	2521051	2521126	+	76	30130	9611	60377	41732	5430	129789
rna-b2403	NC_000913.3	2521173	2521248	+	76	8933	2640	17292	12707	1442	35105
rna-b2404	NC_000913.3	2521253	2521328	+	76	1819	631	4920	2766	417	9926
rna-b4761	NC_000913.3	2640595	2640686	-	92	532	375	295	717	217	535
rna-b4811	NC_000913.3	2653356	2653455	-	100	147	83	252	147	40	544
rna-b4440	NC_000913.3	2653855	2654158	+	304	1128	1377	1224	1464	880	2982
rna-b4441	NC_000913.3	2691157	2691340	-	184	25965	21367	23352	31847	13679	60267
rna-b4608	NC_000913.3	2700520	2700598	+	79	29	22	27	38	14	63
rna-b2588	NC_000913.3	2726069	2726188	-	120	131	288	254	13809	10927	19323
rna-b2589	NC_000913.3	2726281	2729184	-	2904	1775	3283	1964	356165	261355	588640
rna-b2590	NC_000913.3	2729369	2729444	-	76	11357	5800	24763	11642	2843	42591
rna-b2591	NC_000913.3	2729616	2731157	-	1542	685	1574	1241	323365	233256	540560
rna-b4609	NC_000913.3	2734153	2734295	-	143	34987	47619	24080	44790	34349	53496
rna-b4805	NC_000913.3	2737381	2737542	+	162	3081	4039	3089	3846	2319	6351
rna-b2621	NC_000913.3	2755593	2755955	+	363	1364608	2493933	906803	2250273	1695755	2331679
rna-b2652	NC_000913.3	2785762	2785837	-	76	6	6	4	4	3	8
rna-b4442	NC_000913.3	2814802	2814874	+	73	540	761	544	856	410	1172
rna-b2691	NC_000913.3	2817784	2817860	-	77	1414	346	2956	2731	249	9090
rna-b2692	NC_000913.3	2818059	2818135	-	77	2056	475	4528	3909	375	12734
rna-b2693	NC_000913.3	2818198	2818274	-	77	2783	622	6113	5199	443	16493
rna-b2694	NC_000913.3	2818473	2818549	-	77	2001	452	3783	3900	369	10824
rna-b2695	NC_000913.3	2818553	2818645	-	93	24194	16700	29614	39900	14047	80909
rna-b4701	NC_000913.3	2887353	2887411	+	59	14	15	1	17	5	2
rna-b4408	NC_000913.3	2924156	2924524	-	369	82031	36726	62601	258532	43413	315803
rna-b4443	NC_000913.3	2942696	2942901	+	206	41867	21867	120387	20245	5073	124075
rna-b2814	NC_000913.3	2947387	2947463	+	77	7999	8841	24030	3507	1842	21415
rna-b2815	NC_000913.3	2947497	2947573	+	77	8847	11317	28281	3832	2314	22592
rna-b2816	NC_000913.3	2947607	2947683	+	77	3551	5132	10607	1513	1063	8061
rna-b4444	NC_000913.3	2976102	2976189	-	88	22	18	15	17	9	32
rna-b4445	NC_000913.3	2976304	2976385	-	82	37	72	29	44	36	91
rna-b2864	NC_000913.3	2998984	2999057	-	74	95	55	131	113	33	270
rna-b2911	NC_000913.3	3055983	3056165	+	183	695617	1042056	581169	977394	708764	1559896
rna-b4446	NC_000913.3	3056851	3056991	+	141	2893	2064	1861	4442	1486	4723
rna-b2967	NC_000913.3	3110366	3110441	+	76	174	81	274	261	49	563
rna-b4447	NC_000913.3	3194721	3194865	-	145	9861	3589	6448	13833	2768	16559
rna-b4611	NC_000913.3	3195097	3195240	-	144	6616	4276	3835	9064	2972	9705
rna-b3069	NC_000913.3	3215598	3215673	+	76	122	96	110	174	27	190
rna-b3123	NC_000913.3	3270216	3270592	-	377	505967	914938	453900	742265	589967	1123168
rna-b4449	NC_000913.3	3311183	3311398	+	216	2794	1306	6454	3884	770	13473
rna-b3171	NC_000913.3	3318213	3318289	-	77	899	432	3700	583	175	3480
rna-b3174	NC_000913.3	3322072	3322158	-	87	4321	1312	10793	6446	811	25244
rna-b4450	NC_000913.3	3350577	3350697	+	121	893	235	552	725	90	1011
rna-b3272	NC_000913.3	3423423	3423542	-	120	196	354	302	13309	10575	18657
rna-b3273	NC_000913.3	3423580	3423655	-	76	124	97	243	211	92	694
rna-b3274	NC_000913.3	3423668	3423787	-	120	115	301	251	13796	11022	19351
rna-b3275	NC_000913.3	3423880	3426783	-	2904	1829	3246	1967	355488	261686	589613
rna-b3276	NC_000913.3	3426958	3427033	-	76	3961	2133	7508	5137	1196	15411
rna-b3277	NC_000913.3	3427076	3427152	-	77	2388	1255	5264	3204	791	11697
rna-b3278	NC_000913.3	3427221	3428762	-	1542	732	1628	1340	336305	241384	561173
rna-b4451	NC_000913.3	3580922	3581016	-	95	152	100	168	208	39	373
rna-b4712	NC_000913.3	3648063	3648144	+	82	45	73	105	42	29	130
rna-b4713	NC_000913.3	3648294	3648375	+	82	75	18	296	15	6	94
rna-b4704	NC_000913.3	3657985	3658054	-	70	37	27	39	70	16	100
rna-b4718	NC_000913.3	3658992	3659082	+	91	31	30	25	29	19	38
rna-b4452	NC_000913.3	3664864	3664969	+	106	174	176	121	114	54	161
rna-b4454	NC_000913.3	3700136	3700199	+	64	258	370	201	237	204	462
rna-b3545	NC_000913.3	3708616	3708692	-	77	245	109	383	304	71	802
rna-b4834	NC_000913.3	3729386	3729545	-	160	202	279	189	273	169	491
rna-b4760	NC_000913.3	3808166	3808238	-	73	16	8	11	25	4	48
rna-b3658	NC_000913.3	3836222	3836316	+	95	1467	2374	1681	2640	2092	5044
rna-b4829	NC_000913.3	3845730	3845995	-	266	121	260	402	140	180	808
rna-b4616	NC_000913.3	3853118	3853257	-	140	7	4	4	4	3	12
rna-b4616-2	NC_000913.3	3853118	3853190	-	73	0	0	0	0	0	0
rna-b4804	NC_000913.3	3937045	3937278	+	234	8886	10512	8042	8348	4498	12968
rna-b3756	NC_000913.3	3941808	3943349	+	1542	571	1423	1128	294126	211074	491970
rna-b3757	NC_000913.3	3943435	3943510	+	76	5075	2820	9630	5580	1545	17453
rna-b3758	NC_000913.3	3943704	3946607	+	2904	1961	3342	2024	303991	223558	508799
rna-b3759	NC_000913.3	3946700	3946819	+	120	116	327	215	12913	10308	18542
rna-b3760	NC_000913.3	3946872	3946948	+	77	1083	1043	1297	1771	696	3264
rna-b3761	NC_000913.3	3946957	3947032	+	76	3005	1934	4526	4475	1150	9559
rna-b3796	NC_000913.3	3982375	3982451	+	77	3608	942	5024	5654	679	13279
rna-b3797	NC_000913.3	3982509	3982585	+	77	7064	1666	12548	9894	909	26579
rna-b3798	NC_000913.3	3982606	3982692	+	87	3312	909	6528	5416	813	14686
rna-b3799	NC_000913.3	3982735	3982811	+	77	2910	1439	4677	3943	661	10088
rna-b4456	NC_000913.3	3986432	3986603	+	172	12184	9957	12909	14589	6258	29836
rna-b4707	NC_000913.3	4019978	4020229	+	252	943	504	713	1157	283	1363
rna-b3851	NC_000913.3	4035531	4037072	+	1542	605	1353	1063	289454	206800	482223
rna-b3852	NC_000913.3	4037141	4037217	+	77	2357	1318	5405	3317	814	11670
rna-b3853	NC_000913.3	4037260	4037335	+	76	4073	2230	7902	5218	1313	15739
rna-b3854	NC_000913.3	4037519	4040423	+	2905	1979	3459	2051	310683	230156	520013
rna-b3855	NC_000913.3	4040517	4040636	+	120	184	322	223	11654	9051	16879
rna-b3864	NC_000913.3	4049899	4050009	+	111	369	435	442	457	259	1140
rna-b4457	NC_000913.3	4051036	4051281	+	246	34361	45014	28923	46629	29093	73205
rna-b4716	NC_000913.3	4106330	4106387	+	58	115	49	81	47	6	64
rna-b4458	NC_000913.3	4158278	4158394	-	117	26	29	51	44	21	123
rna-b3968	NC_000913.3	4166659	4168200	+	1542	576	1394	1173	288738	208180	487123
rna-b3969	NC_000913.3	4168372	4168447	+	76	11223	5529	24073	11346	2845	42312
rna-b3970	NC_000913.3	4168641	4171544	+	2904	1545	2803	1681	306922	226752	512265
rna-b3971	NC_000913.3	4171637	4171756	+	120	198	355	268	13276	10267	18760
rna-b3976	NC_000913.3	4175388	4175463	+	76	201	163	226	278	122	521
rna-b3977	NC_000913.3	4175472	4175556	+	85	14649	3753	26507	22300	2904	68761
rna-b3978	NC_000913.3	4175673	4175747	+	75	8863	2946	19058	12143	1762	39254
rna-b3979	NC_000913.3	4175754	4175829	+	76	6488	2294	13461	9001	1263	28521
rna-b4691	NC_000913.3	4190327	4190487	-	161	6109	4380	5020	7882	3080	13341
rna-b4007	NC_000913.3	4208147	4209688	+	1542	569	1485	1106	289787	207342	484295
rna-b4008	NC_000913.3	4209774	4209849	+	76	5045	2952	9664	5443	1559	17185
rna-b4009	NC_000913.3	4210043	4212946	+	2904	2051	3361	2179	308011	226740	512680
rna-b4010	NC_000913.3	4213040	4213159	+	120	195	363	264	12786	10245	18542
rna-b4830	NC_000913.3	4218879	4218963	+	85	3437	3139	1647	4035	1571	3187
rna-b4807	NC_000913.3	4242531	4242633	-	103	394	220	425	180	60	298
rna-b4758	NC_000913.3	4263139	4263249	+	111	58	94	94	79	35	200
rna-b4459	NC_000913.3	4277926	4278066	-	141	980	1114	625	1606	1013	1869
rna-b4134	NC_000913.3	4362551	4362626	-	76	704	320	1332	1008	196	2655
rna-b4825	NC_000913.3	4366839	4366951	-	113	2538	1018	3330	2380	456	5840
rna-b4163	NC_000913.3	4392360	4392435	+	76	5703	2720	12344	7382	1704	31768
rna-b4164	NC_000913.3	4392472	4392547	+	76	5676	3420	13208	8068	2279	33064
rna-b4165	NC_000913.3	4392583	4392658	+	76	2123	1452	4856	3547	1005	11986
rna-b4270	NC_000913.3	4496405	4496489	+	85	1039	339	1746	1412	191	3447
rna-b4624	NC_000913.3	4527977	4528066	+	90	219	110	223	166	41	263
rna-b4625	NC_000913.3	4579835	4579911	+	77	8	7	18	17	1	24
rna-b4368	NC_000913.3	4606079	4606165	-	87	2231	1171	4063	4064	1100	10605
rna-b4369	NC_000913.3	4606200	4606286	-	87	5717	3015	8723	9613	2225	22923
rna-b4370	NC_000913.3	4606315	4606401	-	87	3886	2270	5853	7033	1773	15754
