Gene_ID	Gene_Length	RiboZero_Ctrl	RiboZero_Rif	RiboZero_Chlo	DIY_Ctrl	DIY_Rif	DIY_Chlo	RiboZero_Ctrl_RPKM	RiboZero_Rif_RPKM	RiboZero_Chlo_RPKM	DIY_Ctrl_RPKM	DIY_Rif_RPKM	DIY_Chlo_RPKM
rna-b0664	75	2956	2224	8849	4037	1298	17375	11544.3868689629	5739.58886581698	36478.9355686524	5580.58490045371	2594.01855892377	15287.9337134552
rna-b0665	75	3973	1869	11698	5199	1144	23193	15516.1870874119	4823.42247761328	48223.5945623342	7186.88652401754	2286.25364515315	20407.0818196354
rna-b0666	77	1651	562	4515	2375	286	9385	6280.35298687825	1412.70946635398	18129.1004441545	3197.82815898818	556.717608397683	8043.19861164776
rna-b0668	75	7011	2538	16061	10284	1454	34898	27380.8174351485	6549.94448805913	66209.5360117669	14216.1840763602	2905.78041962647	30706.0898263113
rna-b0670	75	13561	4521	30829	19551	2432	67565	52961.2416542646	11667.5725100533	127088.835421628	27026.5086422518	4860.28746941649	59449.164969761
rna-b0672	85	19345	5234	38792	26156	2985	82129	66661.8733523305	11918.5125332017	141101.773072979	31903.2286619943	5263.62643776904	63762.134978537
rna-b0673	77	801	230	1567	1060	156	3697	3046.9792504479	578.155119682232	6291.98236899007	1427.24119937999	303.6641500351	3168.42890434329
rna-b4808	98	178	17	33	164	3	46	532.012250078204	33.5760892486265	104.111113134442	173.500210490667	4.58833193734354	30.9754052629102
rna-b4764	101	2677	5971	2400	3839	3321	5307	7763.44897980958	11442.8172583272	7346.81482424867	3940.75079637888	4928.41364905595	3467.47193748728
rna-b0743	76	8552	3378	27568	11217	1718	51527	32959.5903859804	8603.06725172006	112150.417207037	15301.9000630001	3388.20139604784	44741.0844634535
rna-b0744	76	9150	2829	25659	12321	1564	53560	35264.2951393499	7204.8778138295	104384.342539008	16807.9442521373	3084.48602061631	46506.3458742517
rna-b0745	76	1754	603	5907	2604	385	11639	6759.95340704041	1535.71626784701	24030.4887711103	3552.29988089973	759.288438578823	10106.186699597
rna-b0746	76	6551	2746	16073	9619	1449	36226	25247.6937112439	6993.49398260015	65387.1755574838	13121.9556660424	2857.68557792393	31455.1696348141
rna-b0747	76	1220	441	3848	1775	259	7834	4701.90601857999	1123.13577797766	15654.1934638958	2421.40256858565	510.794040498481	6802.29114224959
rna-b0748	76	2215	894	6628	3120	531	14339	8536.65723865138	2276.83307372343	26963.6159767935	4256.21183886604	1047.22639191001	12450.6066745873
rna-b0749	76	2083	693	5380	2927	428	11164	8027.92642352633	1764.92765110776	21886.5802587733	3992.92693985926	844.092082368146	9693.7424447376
rna-b4814	97	161	201	180	253	70	286	486.16293766558	401.080537307123	573.733219522512	270.415150798692	108.164800997171	194.57164023058
rna-b4416	340	850	228	685	890	101	1652	732.264052073933	129.796563697459	622.903656391721	271.389676452582	44.5248132508101	320.63901601305
rna-b4417	79	80	97	79	108	58	135	296.613286916023	237.657709901298	309.178457187132	141.735584118032	110.042526294771	112.769568417254
rna-b0883	88	928	582	1924	1487	507	4399	3088.82291056641	1280.11084651381	6759.76535940956	1751.90491088989	863.544926662315	3298.80414023002
rna-b0971	88	6912	2014	9830	9747	1252	21776	23006.4051269774	4429.79938982615	34536.6390244262	11483.4009189266	2132.46202797084	16329.7928978515
rna-b1032	88	935	552	1984	1593	500	4452	3112.12222131421	1214.12575133269	6970.56885294624	1876.78851583564	851.622215643308	3338.54876842556
rna-b4826	78	35	78	58	40	33	87	131.432009346603	193.556279197965	229.901929703252	53.1676692560518	63.4131003648248	73.6054362518317
rna-b4418	169	2311	1771	4428	2525	867	8876	4005.35437714286	2028.33236958341	8100.84146996816	1549.01959467151	768.939272955288	3465.89842000667
rna-b4832	100	18	47	57	37	16	77	52.7230117493232	90.9714512230434	176.231720596665	38.3604733682414	23.9816815925156	50.8131321986783
rna-b4806	72	76	58	24	43	13	19	309.178155320105	155.920336020583	103.059485729044	61.918181487777	27.0626615193318	17.4143129829525
rna-b4420	67	108	190	137	148	110	260	472.146373874536	548.890941009154	632.200725890105	229.017751452187	246.080687982902	256.084791076882
rna-b4422	66	51	60	50	51	26	91	226.336161550125	175.960253816332	234.226103929645	80.1140107199144	59.0458069512694	90.9877022841347
rna-b4424	68	62	104	66	60	41	130	267.061007226964	296.027250538064	300.084973152216	91.4796662199714	90.3721457070899	126.159419133464
rna-b4813	184	94	112	60	79	36	119	149.636567162934	117.816865598761	100.819062126239	44.5134752657325	29.325425860413	42.6790141984946
rna-b4425	171	215	124	1267	313	113	2789	368.273148996247	140.356600120162	2290.8134810298	189.771268599013	99.0471498521293	1076.31066835356
rna-b1230	85	2361	639	5022	3134	467	11573	8135.88436210144	1455.08779302941	18266.9907293385	3822.63031911187	823.488625272409	8984.87973927126
rna-b1231	85	2549	685	4893	3601	531	11936	8783.72267640685	1559.83589706595	17797.7669531369	4392.24370744156	936.343597472482	9266.70047247401
rna-b4426	94	74	89	68	99	27	78	230.585275972217	183.260732432116	223.66101158218	109.19168670086	43.0522209440106	54.758556389844
rna-b4699	122	93	107	78	69	71	212	223.280514238937	169.758376017887	197.671472627838	58.6369663803424	87.2284525137605	114.673025613368
rna-b4714	179	3	3	1	6	2	8	4.90903275133363	3.24395998655807	1.7272539507661	3.47520519718327	1.67469843523153	2.94932204592198
rna-b4833	98	0	1	1	0	0	0	0	1.97506407344862	3.15488221619522	0	0	0
rna-b4427	111	14	19	7	4	5	21	36.943051275802	33.1312549978498	19.4977405433326	3.7361064882631	6.75159954744244	12.4847990660143
rna-b4597	65	129	90	131	107	36	137	581.305001338691	268.001001966413	623.113506023296	170.668218311926	83.0135132048615	139.088893331047
rna-b4429	57	520	782	393	771	504	1009	2672.12145318207	2655.45632162822	2131.70409955338	1402.36723408791	1325.30345642849	1168.15790358775
rna-b4698	98	136	134	261	175	57	583	406.481269722673	264.658585842115	823.424258426952	185.137419730895	87.1783068095272	392.579592788622
rna-b1574	53	44	53	29	60	42	95	243.166930500023	193.556279197965	169.173118083525	117.370137791661	118.777196566704	118.285899506847
rna-b1665	77	145	71	215	172	52	373	551.575519744001	178.473971727993	863.290497340692	231.590081408828	101.221383345033	319.671079610508
rna-b1666	77	321	109	510	439	64	1235	1221.07408164017	273.995252371145	2047.8053657849	591.093289177183	124.580164116964	1058.42837350932
rna-b4430	68	27	43	11	9	2	11	116.300761211742	122.395882434007	50.014162192036	13.7219499329957	4.40839735156536	10.6750277728316
rna-b4431	106	15	31	26	11	9	42	41.4489086079585	56.606081652235	75.836225347787	10.758929297569	12.7261282035755	26.1474093646715
rna-b4432	272	3465	2358	1628	4652	1318	3138	3731.31608887673	1677.96215569412	1850.52400110533	1773.18086356378	726.283463670393	761.323571616943
rna-b4433	104	0	0	0	0	0	0	0	0	0	0	0	0
rna-b4717	80	180	202	216	242	102	506	659.03764686654	488.729604974861	834.781834405255	313.622789024135	191.104025190358	417.393585917715
rna-b4828	95	80	44	78	77	19	130	246.657364909114	89.6471187864258	253.851785901013	84.0329004083808	29.9771019906444	90.303584221848
rna-b4759	67	3213	807	6027	3926	528	13280	14046.3546227674	2331.34204944414	27812.217335326	6075.16008244113	1181.18730231793	13080.0231750038
rna-b1909	87	2086	653	4223	2878	403	8964	7023.00143736195	1452.78448639392	15007.5933873708	3429.68134059642	694.297247254581	6799.35687459251
rna-b1910	74	4642	975	8167	6853	551	18515	18373.8904309578	2550.23475970291	34122.4386465852	9601.32666152513	1116.03940519224	16511.1467648039
rna-b1911	76	1939	643	3218	2673	405	7090	7472.94735248082	1637.58799374068	13091.2667793183	3646.42764272081	798.731993829671	6156.2731935856
rna-b4719	137	420	249	275	409	122	492	897.958837579713	351.792069491191	620.613691434023	309.517332957402	133.47468769557	236.989866733811
rna-b4827	195	1965	3122	2883	2903	1718	6562	2951.58740989801	3098.88565977459	4571.08457472051	1543.45743850318	1320.52977486993	2220.68447211273
rna-b1954	91	39	43	55	47	29	112	125.530980355531	91.4606594012361	186.866100497717	53.5474383221664	47.7657119631148	81.2197917261591
rna-b4603	91	0	0	2	0	0	1	0	0	6.7951309271897	0	0	0.725176711840706
rna-b1975	90	999	454	543	1368	521	1096	3251.25239120826	976.383897287511	1865.37669169569	1575.88971674937	867.670563173653	803.62471702383
rna-b1977	76	180	103	222	211	49	458	693.723838806884	262.319694176189	903.126545993989	287.839967307928	96.6367103645775	397.683092053907
rna-b1984	76	121	71	109	136	43	223	466.336580531294	180.822313461256	443.42699780786	185.527182719802	84.8036437893231	193.631723860309
rna-b1986	76	253	126	362	278	72	745	975.067395656342	320.895936565047	1472.66580923344	379.239388206654	141.996798903053	646.88625235843
rna-b1989	76	160	123	299	213	68	560	616.643412272786	313.255557123022	1216.37314077569	290.568308230278	134.108087852883	486.250068886874
rna-b4435	195	344	106	265	423	69	538	516.715556745503	105.215208179406	420.165595664563	224.899240953099	53.0364112142171	182.06769978614
rna-b4436	144	2216	2174	1044	4257	1804	3143	4507.49205387732	2922.16215955816	2241.5438146067	3064.94998364496	1877.73236080287	1440.34699224789
rna-b4437	136	2230	906	1106	3006	553	2322	4802.79069448491	1289.42638936291	2514.34833565417	2291.56563881028	609.460933853911	1126.70065856886
rna-b4438	87	192	209	302	198	132	738	646.412404589403	464.980027038789	1073.24016173004	235.954449422547	227.412497860061	559.786409354002
rna-b2189	77	1275	340	1626	2771	400	5182	4850.06060464553	854.664089965039	6528.88534267891	3731.02392781316	778.626025731025	4441.11403362373
rna-b4439	93	5	9	6	5	2	17	15.7476140230953	18.7312528256095	19.9469972378795	5.57402984136027	3.2233443000693	12.0628857335223
rna-b2348	75	25	15	33	19	6	34	97.6352069431911	38.7112558395929	136.038521162338	26.2648286124896	11.9908407962578	29.9159566191353
rna-b2396	76	4445	3820	7772	6363	2215	16374	17131.1247972033	9728.74982284507	31617.5653849788	8680.21664445661	4368.37374403141	14217.6046927744
rna-b2397	76	4795	4831	7100	6788	3090	17868	18480.03226155	12303.5576948075	28883.7769214294	9259.98909045599	6094.02928625601	15514.850412269
rna-b2401	76	8125	2491	15336	12296	1754	36547	31313.9232794774	6344.06173002803	62388.9581502875	16773.839990608	3459.19979549937	31733.8951207296
rna-b2402	76	30130	9611	60377	41732	5430	129789	116121.662573619	24477.2289391005	245621.943547203	56929.5616857556	10708.9252506052	112696.268197783
rna-b2403	76	8933	2640	17292	12707	1442	35105	34427.972511455	6723.53390898193	70346.2352852615	17334.5140501509	2843.88033358614	30481.8011933459
rna-b2404	76	1819	631	4920	2766	417	9926	7010.46479327623	1607.02647597258	20015.2369652722	3773.29549561009	822.39812698018	8618.78247101983
rna-b4761	92	532	375	295	717	217	535	1693.75859001449	788.952224991704	991.387444241346	808.004095329878	353.534300650535	383.752480608313
rna-b4811	100	147	83	252	147	40	544	430.571262619473	160.651711734311	779.129712111571	152.405123922472	59.9542039812889	358.991479429623
rna-b4440	304	1128	1377	1224	1464	880	2982	1086.83401413078	876.73354097236	1244.85010393766	499.286388790055	433.879107759328	647.320404205651
rna-b4441	184	25965	21367	23352	31847	13679	60267	41333.1219828254	22476.7229218637	39238.778979532	17944.5651492124	11142.8472317942	21614.5894848796
rna-b4608	79	29	22	27	38	14	63	107.522316507059	53.9017486374079	105.668586633577	49.8699277452334	26.5619891056343	52.6257985947186
rna-b2588	120	131	288	254	13809	10927	19323	319.755302738951	464.535070075115	654.427734379428	11930.6256022983	13648.3247271572	10626.2137821976
rna-b2589	2904	1775	3283	1964	356165	261355	588640	179.03150033488	218.817239878415	209.100030962647	12715.6001016303	13489.4378284519	13376.373894239
rna-b2590	76	11357	5800	24763	11642	2843	42591	43770.1202073877	14771.4002545815	100739.291254275	15881.6725089995	5606.90137890804	36981.9226499301
rna-b2591	1542	685	1574	1241	323365	233256	540560	130.116958669428	197.573011321398	248.826501536466	21741.5684627219	22672.9536379045	23133.6826362437
rna-b4609	143	34987	47619	24080	44790	34349	53496	71663.5591326173	64454.2409729222	52063.0576857771	32473.3623542531	36002.9187509317	24687.1248760375
rna-b4805	162	3081	4039	3089	3846	2319	6351	5570.6309739254	4825.76426963321	5895.3842855003	2461.36771061489	2145.58331840446	2587.09477788845
rna-b2621	363	1364608	2493933	906803	2250273	1695755	2331679	1101105.65682921	1329797.22327553	772352.486260778	642703.726362688	700190.366200348	423884.345003334
rna-b2652	76	6	6	4	4	3	8	23.1241279602295	15.2807588840498	16.2725503782701	5.45668184470005	5.91653328762719	6.94642955552677
rna-b4442	73	540	761	544	856	410	1172	2166.69911298588	2017.7579242418	2304.01480424383	1215.71881537263	841.822727134536	1059.47324207171
rna-b2691	77	1414	346	2956	2731	249	9090	5378.81230977943	869.74639743501	11869.2405122748	3677.16576934599	484.694701017563	7790.37563983784
rna-b2692	77	2056	475	4528	3909	375	12734	7820.96047305977	1194.01600803939	18181.2994044588	5263.28853620412	729.961899122836	10913.3821119577
rna-b2693	77	2783	622	6113	5199	443	16493	10586.4460099831	1563.53254105369	24545.5572569472	7000.21414677033	862.32832349711	14134.9466917322
rna-b2694	77	2001	452	3783	3900	369	10824	7611.74217246722	1136.20049607117	15189.8974485574	5251.17045054901	718.28250873687	9276.46049786632
rna-b2695	93	24194	16700	29614	39900	14047	80909	76199.5547349537	34756.8802430754	98451.7293670937	44480.7581340549	22639.1586915367	57411.530694915
rna-b4701	59	14	15	1	17	5	2	69.5030286714241	49.2092235249063	5.2403128336802	29.8730209464088	12.7021618604426	2.23698578906794
rna-b4408	369	82031	36726	62601	258532	43413	315803	65114.7452094057	19264.3574791991	52452.2509440965	72639.0529615336	17634.0911750657	56477.4560508894
rna-b4443	206	41867	21867	120387	20245	5073	124075	59529.5127537463	20546.0929962228	180684.790899938	10189.0289076364	3691.11258248882	39746.8123663536
rna-b2814	77	7999	8841	24030	3507	1842	21415	30427.9488443605	22223.7800570027	96487.7704702178	4722.01404360907	3585.57284849137	18353.2336993539
rna-b2815	77	8847	11317	28281	3832	2314	22592	33653.7146425875	28447.7456062775	113556.830489731	5159.61158115482	4504.35155885398	19361.9545055244
rna-b2816	77	3551	5132	10607	1513	1063	8061	13507.8942800755	12900.4003226488	42590.3363036871	2037.18484402068	2069.1986633802	6908.49483308392
rna-b4444	88	22	18	15	17	9	32	73.2264052073933	39.5910571086746	52.7008733841701	20.0285026799786	15.3291998815795	23.9967566463652
rna-b4445	82	37	72	29	44	36	91	132.164731349929	169.95185490553	109.343600712522	55.6315368557225	65.8033946136098	73.2340042774743
rna-b2864	74	95	55	131	113	33	270	376.027486200128	143.85939670119	547.329430966408	158.317512440149	66.8408355196802	240.778267701705
rna-b2911	183	695617	1042056	581169	977394	708764	1559896	1113388.68439675	1102166.56872084	981884.889535454	553733.518051675	580510.675281342	562509.414975442
rna-b4446	141	2893	2064	1861	4442	1486	4723	6009.7585890777	2833.3344699617	4080.71708386703	3266.19173282975	1579.64445241481	2210.46719512165
rna-b2967	76	174	81	274	261	49	563	670.599710846654	206.290244934673	1114.6697009115	356.048490366678	96.6367103645775	488.854979970196
rna-b4447	145	9861	3589	6448	13833	2768	16559	19919.6022551753	4790.85162787238	13748.8461513284	9890.78151170331	2861.26270034841	7536.18142479099
rna-b4611	144	6616	4276	3835	9064	2972	9705	13457.3860236698	5747.54617951734	8234.02349522673	6525.88833726989	3093.470385979	4447.52388156722
rna-b3069	76	122	96	110	174	27	190	470.190601857999	244.492142144798	447.495135402427	237.365660244452	53.2487995886448	164.977701943761
rna-b3123	377	505967	914938	453900	742265	589967	1123168	393104.982106835	469740.039726333	372244.301637239	204126.724243155	234555.715253508	196602.308261825
rna-b4449	216	2794	1306	6454	3884	770	13473	3788.78844721216	1170.29861403955	9238.13779021179	1864.26524727539	534.31408640732	4116.19366349683
rna-b3171	77	899	432	3700	583	175	3480	3419.76822241281	1085.92613783793	14856.6271635375	784.982659658993	340.648886257323	2982.45404033396
rna-b3174	87	4321	1312	10793	6446	811	25244	14547.6458345355	2918.91768169804	38355.8975680541	7681.62818675625	1397.20860427659	19148.0326798542
rna-b4450	121	893	235	552	725	90	1011	2161.69189587445	375.915087698527	1410.46701129997	621.204895956555	111.485090047851	551.380022033527
rna-b3272	120	196	354	302	13309	10575	18657	478.412514021636	570.991023633996	778.099117254281	11498.6382895929	13208.6605646277	10259.9632838825
rna-b3273	76	124	97	243	211	92	694	477.898644511409	247.038935292139	988.557435479907	287.839967307928	181.440354153901	602.602763941947
rna-b3274	120	115	301	251	13796	11022	19351	280.701219961674	485.503666988228	646.69827294975	11919.393932168	13766.9840892035	10641.6117010457
rna-b3275	2904	1829	3246	1967	355488	261686	589613	184.478092457744	216.351130260535	209.419430195278	12691.4302329772	13506.5218862324	13398.4845421717
rna-b3276	76	3961	2133	7508	5137	1196	15411	15265.7784750781	5432.30978327972	30543.5770600129	7007.74365905604	2358.72460400071	13381.4282350279
rna-b3277	77	2388	1255	5264	3204	791	11697	9083.87821481845	3154.71597913566	21136.5636186112	4314.03849322026	1539.7329658831	10024.6450890191
rna-b3278	1542	732	1628	1340	336305	241384	561173	139.044691600031	204.351246779693	268.676480305289	22611.5942722796	23463.011630706	24015.8318892052
rna-b4451	95	152	100	168	208	39	373	468.648993327317	203.743451787331	546.757692709875	226.997964739522	61.5319461913228	259.101822421148
rna-b4712	82	45	73	105	42	29	130	160.740889479644	172.312297334773	395.899243959132	53.1028306350078	53.0082901054079	104.620006110677
rna-b4713	82	75	18	296	15	6	94	267.901482466073	42.4879637263825	1116.05882106574	18.9652966553599	10.9672324356016	75.6483121107976
rna-b4704	70	37	27	39	70	16	100	154.821542438489	74.6574219763578	172.256569004259	103.676955049301	34.2595451321651	94.2729725392918
rna-b4718	91	31	30	25	29	19	38	99.7810356672172	63.8097623729554	84.9391365898713	33.039908751975	31.29477680342	27.5567150499468
rna-b4452	106	174	176	121	114	54	161	480.807339852318	321.376463573979	352.930125657009	111.501630902078	76.3567692214528	100.231735897907
rna-b4454	64	258	370	201	237	204	462	1180.77578396922	1118.99723911323	971.013592103335	383.928724166943	477.760062975896	476.373114362609
rna-b3545	77	245	109	383	304	71	802	931.972429912278	273.995252371145	1537.86167665807	409.322004350487	138.206119567257	687.335672513746
rna-b4834	160	202	279	189	273	169	491	369.793346297336	337.513761851451	365.217052552299	176.89880455287	158.316569888091	202.510129135966
rna-b4760	73	16	8	11	25	4	48	64.1984922366188	21.2116470353934	46.5885346446363	35.5058065237332	8.21290465497108	43.3913955797288
rna-b3658	95	1467	2374	1681	2640	2092	5044	4523.07942902088	4836.86954543124	5470.8314371744	2881.12801400163	3300.63670339096	3503.7790678077
rna-b4829	266	121	260	402	140	180	808	133.239023008941	189.190348088236	467.254660861755	54.5668184470005	101.426284930752	200.454110030915
rna-b4616	140	7	4	4	4	3	12	14.6452810414787	5.53017940565613	8.83367020534661	2.96219871569431	3.21183235614048	5.65637835235751
rna-b4616-2	73	0	0	0	0	0	0	0	0	0	0	0	0
rna-b4804	234	8886	10512	8042	8348	4498	12968	11122.9031909897	8695.14361935472	10625.697233756	3698.69752457934	2881.13258021194	3657.14673300289
rna-b3756	1542	571	1423	1128	294126	211074	491970	108.462457518603	178.619056613945	226.16945506296	19775.6732041704	20516.8185005619	21054.2360636244
rna-b3757	76	5075	2820	9630	5580	1545	17453	19559.1582330274	7181.95667550343	39176.1650356852	7612.07117335657	3047.014643128	15154.5043790761
rna-b3758	2904	1961	3342	2024	303991	223558	508799	197.791984313634	222.749684944765	215.488015615273	10852.9136509615	11538.6035930174	11562.0509326837
rna-b3759	120	116	327	215	12913	10308	18542	283.142100135254	527.440860814454	553.944735793611	11156.5043379302	12875.1653049818	10196.7218314707
rna-b3760	77	1083	1043	1297	1771	696	3264	4119.69853712244	2621.80778186334	5207.85011651571	2384.56996613392	1354.80928477198	2797.33620334771
rna-b3761	76	3005	1934	4526	4475	1150	9559	11581.3340867483	4925.49794695873	18412.3907530126	6104.66281375818	2268.00442692376	8300.11501516005
rna-b3796	77	3608	942	5024	5654	679	13279	13724.7205188714	2367.92227278549	20172.8905053006	7612.85069933439	1321.71767867841	11380.4618395387
rna-b3797	77	7064	1666	12548	9894	909	26579	26871.2377342871	4187.85404082869	50384.0426075861	13321.8154968543	1769.42764347375	22778.9212465622
rna-b3798	87	3312	909	6528	5416	813	14686	11150.6139791672	2022.32939989598	23199.0456151448	6454.18837410361	1400.65424818356	11139.5978425107
rna-b3799	77	2910	1439	4677	3943	661	10088	11069.5500858969	3617.24007488144	18779.5797956391	5309.06797090122	1286.67950752052	8645.68860887614
rna-b4456	172	12184	9957	12909	14589	6258	29836	20748.6167685321	11204.8829765938	23204.5622315621	8793.85521636193	5453.39256562363	11447.1505004513
rna-b4707	252	943	504	713	1157	283	1363	1096.07143032654	387.112558395929	874.778730057241	476.008876952545	168.323806812547	356.927948808485
rna-b3851	1542	605	1353	1063	289454	206800	482223	114.920817510954	169.832455093934	213.136640719793	19461.5495115696	20101.3770806267	20637.1056717059
rna-b3852	77	2357	1318	5405	3317	814	11670	8965.95517266628	3313.08020757036	21702.7215726811	4466.18779089002	1584.50396236264	10001.5053593958
rna-b3853	76	4073	2230	7902	5218	1313	15739	15697.4288636691	5679.34871857186	32146.4232722725	7118.24146641122	2589.46940221817	13666.2318468045
rna-b3854	2905	1979	3459	2051	310683	230156	520013	199.538803312126	230.468561014031	218.287440857421	11088.00944082	11875.0600443352	11812.8123539939
rna-b3855	120	184	322	223	11654	9051	16879	449.121951938679	519.376015847872	574.556632939419	10068.7602845379	11305.1145882218	9282.19543702912
rna-b3864	111	369	435	442	457	259	1140	973.713280055067	758.531364424456	1231.14304573615	426.850166284059	349.732856557519	677.746235012206
rna-b4457	246	34361	45014	28923	46629	29093	73205	40912.7237289633	35417.6518366552	36351.0915334285	19651.840394284	17726.0940693866	19637.711659826
rna-b4716	58	115	49	81	47	6	64	580.761144748292	163.521684150005	431.783707450994	84.0140842640887	15.5053975813678	72.8177443062116
rna-b4458	117	26	29	51	44	21	123	65.0901379621274	47.9754880063331	134.770096722596	38.9896241211046	26.9025274275014	69.3752387660942
rna-b3968	1542	576	1394	1173	288738	208180	487123	109.412216341008	174.978893127084	235.192172685153	19413.4089799125	20235.5158638533	20846.8049556292
rna-b3969	76	11223	5529	24073	11346	2845	42312	43253.6813496092	14081.2193116519	97932.2763140239	15477.8780524917	5610.84573443312	36739.6659191811
rna-b3970	2904	1545	2803	1681	306922	226752	512265	155.833052404163	186.824466457264	178.970036684424	10957.5545446424	11703.4570085789	11640.8130146309
rna-b3971	120	198	355	268	13276	10267	18760	483.294274368796	572.603992627312	690.498554384594	11470.1271269543	12823.9544224144	10316.6056282165
rna-b3976	76	201	163	226	278	122	521	774.658286667687	415.127283016687	919.399096372259	379.239388206654	240.605687030173	452.386224803681
rna-b3977	85	14649	3753	26507	22300	2904	68761	50479.6992886167	8546.07900976425	96416.3925254035	27199.9540894048	5120.79436357832	53383.6788863761
rna-b3978	75	8863	2946	19058	12143	1762	39254	34613.6335655001	7602.89064689605	78564.3071609647	16785.9902021822	3521.3102471677	34538.8517978687
rna-b3979	76	6488	2294	13461	9001	1263	28521	25004.8903676615	5842.34348000172	54761.2001604734	12278.8983210363	2490.86051409105	24764.8896691474
rna-b4691	161	6109	4380	5020	7882	3080	13341	11114.0399853904	5265.69256451606	9640.22270235652	5075.66310371795	2867.37497301816	5468.24228976823
rna-b4007	1542	569	1485	1106	289787	207342	484295	108.082553989641	186.401475103098	221.758348669888	19483.938892913	20154.060573749	20725.7785117649
rna-b4008	76	5045	2952	9664	5443	1559	17185	19443.5375932263	7518.13337095252	39314.4817139005	7425.1798201756	3074.6251318036	14921.7989889659
rna-b4009	2904	2051	3361	2179	308011	226740	512680	206.869637851741	224.016065559352	231.990309301226	10996.4334027859	11702.8376469675	11650.2435581993
rna-b4010	120	195	363	264	12786	10245	18542	475.971633848056	585.507744573843	680.192605811689	11046.779560503	12796.4754122563	10196.7218314707
rna-b4830	85	3437	3139	1647	4035	1571	3187	11843.7249269558	7147.91953414601	5990.78728220242	4921.60604263446	2770.23689572367	2474.27734632831
rna-b4807	103	394	220	425	180	60	298	1120.43509327041	413.421178869439	1275.73635247117	181.183028241497	87.3119475455664	190.925651181517
rna-b4758	111	58	94	94	79	35	200	153.049783856894	163.912524726204	261.826801581895	73.7881031431962	47.2611968320971	118.902848247755
rna-b4459	141	980	1114	625	1606	1013	1869	2035.79793200696	1529.2318796208	1370.47188469473	1180.88787098707	1076.83703250081	874.732836689046
rna-b4134	76	704	320	1332	1008	196	2655	2713.23101400026	814.973807149325	5418.75927596394	1375.08382486441	386.54684145831	2305.34630874045
